County,Positive Cases,Date
Albany,61,2020-03-20
Allegany,2,2020-03-20
Broome,2,2020-03-20
Chenango,2,2020-03-20
Clinton,2,2020-03-20
Columbia,1,2020-03-20
Delaware,1,2020-03-20
Dutchess,36,2020-03-20
Erie,31,2020-03-20
Essex,1,2020-03-20
Fulton,1,2020-03-20
Genesee,1,2020-03-20
Greene,2,2020-03-20
Hamilton,2,2020-03-20
Herkimer,2,2020-03-20
Jefferson,1,2020-03-20
Livingston,1,2020-03-20
Monroe,32,2020-03-20
Montgomery,2,2020-03-20
Nassau,754,2020-03-20
Niagara,3,2020-03-20
New York City,4408,2020-03-20
Oneida,2,2020-03-20
Onondaga,8,2020-03-20
Ontario,3,2020-03-20
Orange,84,2020-03-20
Putnam,7,2020-03-20
Rensselaer,8,2020-03-20
Rockland,101,2020-03-20
Saratoga,24,2020-03-20
Schenectady,21,2020-03-20
Schoharie,1,2020-03-20
Suffolk,371,2020-03-20
Sullivan,8,2020-03-20
Tioga,1,2020-03-20
Tompkins,7,2020-03-20
Ulster,12,2020-03-20
Warren,1,2020-03-20
Washington,1,2020-03-20
Wayne,1,2020-03-20
Westchester,1091,2020-03-20
Wyoming,2,2020-03-20
