County,Positive Cases,Date
Albany,187,2020-03-27
Allegany,2,2020-03-27
Broome,18,2020-03-27
Cayuga,2,2020-03-27
Chautauqua,1,2020-03-27
Chemung,11,2020-03-27
Chenango,4,2020-03-27
Clinton,11,2020-03-27
Columbia,20,2020-03-27
Cortland,4,2020-03-27
Delaware,8,2020-03-27
Dutchess,225,2020-03-27
Erie,219,2020-03-27
Essex,4,2020-03-27
Franklin,2,2020-03-27
Fulton,1,2020-03-27
Genesee,6,2020-03-27
Greene,6,2020-03-27
Hamilton,2,2020-03-27
Herkimer,9,2020-03-27
Jefferson,3,2020-03-27
Livingston,3,2020-03-27
Madison,17,2020-03-27
Monroe,160,2020-03-27
Montgomery,5,2020-03-27
Nassau,4657,2020-03-27
Niagara,23,2020-03-27
New York City,25398,2020-03-27
Oneida,13,2020-03-27
Onondaga,115,2020-03-27
Ontario,14,2020-03-27
Orange,910,2020-03-27
Orleans,3,2020-03-27
Oswego,4,2020-03-27
Otsego,5,2020-03-27
Putnam,111,2020-03-27
Rensselaer,35,2020-03-27
Rockland,1457,2020-03-27
Saratoga,82,2020-03-27
Schenectady,66,2020-03-27
Schoharie,3,2020-03-27
St Lawrence,3,2020-03-27
Steuben,12,2020-03-27
Suffolk,3385,2020-03-27
Sullivan,64,2020-03-27
Tioga,2,2020-03-27
Tompkins,26,2020-03-27
Ulster,98,2020-03-27
Warren,8,2020-03-27
Washington,6,2020-03-27
Wayne,11,2020-03-27
Westchester,7187,2020-03-27
Wyoming,7,2020-03-27
