County,Positive Cases,Date
Albany,88,2020-03-21
Allegany,2,2020-03-21
Broome,2,2020-03-21
Chenango,2,2020-03-21
Clinton,4,2020-03-21
Columbia,2,2020-03-21
Delaware,1,2020-03-21
Dutchess,49,2020-03-21
Erie,38,2020-03-21
Essex,2,2020-03-21
Fulton,1,2020-03-21
Genesee,1,2020-03-21
Greene,2,2020-03-21
Hamilton,2,2020-03-21
Herkimer,3,2020-03-21
Jefferson,1,2020-03-21
Livingston,2,2020-03-21
Monroe,42,2020-03-21
Montgomery,3,2020-03-21
Nassau,1234,2020-03-21
Niagara,4,2020-03-21
New York City,6211,2020-03-21
Oneida,4,2020-03-21
Onondaga,17,2020-03-21
Ontario,4,2020-03-21
Orange,163,2020-03-21
Putnam,22,2020-03-21
Rensselaer,20,2020-03-21
Rockland,262,2020-03-21
Saratoga,35,2020-03-21
Schenectady,32,2020-03-21
Schoharie,1,2020-03-21
Steuben,2,2020-03-21
Suffolk,662,2020-03-21
Sullivan,12,2020-03-21
Tioga,1,2020-03-21
Tompkins,11,2020-03-21
Ulster,18,2020-03-21
Warren,1,2020-03-21
Washington,1,2020-03-21
Wayne,3,2020-03-21
Westchester,1387,2020-03-21
Wyoming,2,2020-03-21
