County,Positive Cases,Date
Albany,43,2020-03-19
Allegany,2,2020-03-19
Broome,2,2020-03-19
Chenango,2,2020-03-19
Clinton,2,2020-03-19
Delaware,1,2020-03-19
Dutchess,31,2020-03-19
Erie,28,2020-03-19
Essex,1,2020-03-19
Fulton,1,2020-03-19
Genesee,1,2020-03-19
Greene,2,2020-03-19
Hamilton,2,2020-03-19
Herkimer,1,2020-03-19
Jefferson,1,2020-03-19
Monroe,27,2020-03-19
Montgomery,2,2020-03-19
Nassau,372,2020-03-19
Niagara,1,2020-03-19
New York City,2469,2020-03-19
Oneida,2,2020-03-19
Onondaga,5,2020-03-19
Ontario,1,2020-03-19
Orange,51,2020-03-19
Putnam,5,2020-03-19
Rensselaer,6,2020-03-19
Rockland,53,2020-03-19
Saratoga,18,2020-03-19
Schenectady,18,2020-03-19
Schoharie,1,2020-03-19
Suffolk,178,2020-03-19
Sullivan,3,2020-03-19
Tioga,1,2020-03-19
Tompkins,6,2020-03-19
Ulster,10,2020-03-19
Warren,1,2020-03-19
Washington,1,2020-03-19
Wayne,1,2020-03-19
Westchester,798,2020-03-19
Wyoming,2,2020-03-19
