County,Positive Cases,Date
Albany,152,2020-03-25
Allegany,2,2020-03-25
Broome,11,2020-03-25
Cayuga,2,2020-03-25
Chautauqua,1,2020-03-25
Chemung,1,2020-03-25
Chenango,3,2020-03-25
Clinton,10,2020-03-25
Columbia,12,2020-03-25
Cortland,2,2020-03-25
Delaware,5,2020-03-25
Dutchess,153,2020-03-25
Erie,122,2020-03-25
Essex,4,2020-03-25
Franklin,1,2020-03-25
Fulton,1,2020-03-25
Genesee,2,2020-03-25
Greene,4,2020-03-25
Hamilton,2,2020-03-25
Herkimer,5,2020-03-25
Jefferson,2,2020-03-25
Livingston,3,2020-03-25
Madison,7,2020-03-25
Monroe,118,2020-03-25
Montgomery,4,2020-03-25
Nassau,3285,2020-03-25
Niagara,12,2020-03-25
New York City,17856,2020-03-25
Oneida,9,2020-03-25
Onondaga,65,2020-03-25
Ontario,9,2020-03-25
Orange,638,2020-03-25
Orleans,2,2020-03-25
Oswego,2,2020-03-25
Otsego,2,2020-03-25
Putnam,84,2020-03-25
Rensselaer,31,2020-03-25
Rockland,968,2020-03-25
Saratoga,64,2020-03-25
Schenectady,55,2020-03-25
Schoharie,2,2020-03-25
St Lawrence,1,2020-03-25
Steuben,8,2020-03-25
Suffolk,2260,2020-03-25
Sullivan,39,2020-03-25
Tioga,1,2020-03-25
Tompkins,16,2020-03-25
Ulster,65,2020-03-25
Warren,2,2020-03-25
Washington,4,2020-03-25
Wayne,7,2020-03-25
Westchester,4691,2020-03-25
Wyoming,4,2020-03-25
