County,Positive Cases,Date
Albany,171,2020-03-26
Allegany,2,2020-03-26
Broome,16,2020-03-26
Cayuga,2,2020-03-26
Chautauqua,1,2020-03-26
Chemung,7,2020-03-26
Chenango,3,2020-03-26
Clinton,11,2020-03-26
Columbia,13,2020-03-26
Cortland,2,2020-03-26
Delaware,7,2020-03-26
Dutchess,190,2020-03-26
Erie,134,2020-03-26
Essex,4,2020-03-26
Franklin,1,2020-03-26
Fulton,1,2020-03-26
Genesee,4,2020-03-26
Greene,5,2020-03-26
Hamilton,2,2020-03-26
Herkimer,7,2020-03-26
Jefferson,3,2020-03-26
Livingston,3,2020-03-26
Madison,9,2020-03-26
Monroe,139,2020-03-26
Montgomery,5,2020-03-26
Nassau,3914,2020-03-26
Niagara,14,2020-03-26
New York City,21393,2020-03-26
Oneida,13,2020-03-26
Onondaga,83,2020-03-26
Ontario,11,2020-03-26
Orange,751,2020-03-26
Orleans,2,2020-03-26
Oswego,4,2020-03-26
Otsego,3,2020-03-26
Putnam,94,2020-03-26
Rensselaer,32,2020-03-26
Rockland,1197,2020-03-26
Saratoga,73,2020-03-26
Schenectady,62,2020-03-26
Schoharie,2,2020-03-26
St Lawrence,2,2020-03-26
Steuben,11,2020-03-26
Suffolk,2735,2020-03-26
Sullivan,53,2020-03-26
Tioga,2,2020-03-26
Tompkins,22,2020-03-26
Ulster,78,2020-03-26
Warren,2,2020-03-26
Washington,4,2020-03-26
Wayne,8,2020-03-26
Westchester,5944,2020-03-26
Wyoming,7,2020-03-26
