County,Positive Cases,Date
Albany,127,2020-03-23
Allegany,2,2020-03-23
Broome,7,2020-03-23
Cayuga,2,2020-03-23
Chenango,3,2020-03-23
Clinton,6,2020-03-23
Columbia,10,2020-03-23
Cortland,2,2020-03-23
Delaware,3,2020-03-23
Dutchess,100,2020-03-23
Erie,87,2020-03-23
Essex,3,2020-03-23
Fulton,1,2020-03-23
Genesee,1,2020-03-23
Greene,4,2020-03-23
Hamilton,2,2020-03-23
Herkimer,4,2020-03-23
Jefferson,2,2020-03-23
Livingston,3,2020-03-23
Madison,4,2020-03-23
Monroe,76,2020-03-23
Montgomery,3,2020-03-23
Nassau,2442,2020-03-23
Niagara,10,2020-03-23
New York City,12305,2020-03-23
Oneida,7,2020-03-23
Onondaga,52,2020-03-23
Ontario,6,2020-03-23
Orange,389,2020-03-23
Oswego,1,2020-03-23
Otsego,1,2020-03-23
Putnam,45,2020-03-23
Rensselaer,29,2020-03-23
Rockland,592,2020-03-23
Saratoga,53,2020-03-23
Schenectady,44,2020-03-23
Schoharie,1,2020-03-23
St Lawrence,1,2020-03-23
Steuben,4,2020-03-23
Suffolk,1458,2020-03-23
Sullivan,23,2020-03-23
Tioga,1,2020-03-23
Tompkins,15,2020-03-23
Ulster,35,2020-03-23
Warren,2,2020-03-23
Washington,3,2020-03-23
Wayne,6,2020-03-23
Westchester,2894,2020-03-23
Wyoming,4,2020-03-23
